Harga Invoice All Tenant (per Item),,,,,,,,,Harga Invoice Pucang (per Item),,,,,,,
,,,,,,,,,,,,,,,,
No,Item,Quantity,,Harga,Harga + 5%,Harga per item,Satuan,,No,Item,Quantity,,,,Harga per item,Satuan
71,Tepung ketan,1,pack,"Rp 11,000.00","Rp 11,550.00","Rp11,000.00",pack,,71,Tepung ketan,1,pack,"Rp 11,000.00","Rp 11,550.00","Rp 11,550.00",pack
74,Ongkos Kirim,1,,"Rp30,000.00","Rp 31,500.00","Rp30,000.00",,,74,Ongkos Kirim,1,,"Rp30,000.00","Rp 31,500.00","Rp 31,500.00",
76,Bulpoint,12,pcs,"Rp7,200","Rp 7,560.00",Rp600.00,pcs,,76,Bulpoint,12,pcs,"Rp7,200","Rp 7,560.00",Rp 630.00,pcs
77,Plastik bawang 15,1,Pack,"Rp9,000.00","Rp 9,450.00","Rp9,000.00",pack,,77,Plastik bawang 15,1,Pack,"Rp9,000.00","Rp 9,450.00","Rp 9,450.00",pack
79,Teh Wayang,10,Pack,"Rp18,900.00","Rp 19,845.00","Rp1,890.00",pcs,,79,Teh Wayang,10,Pack,"Rp18,900.00","Rp 19,845.00","Rp 1,984.50",pcs
80,Kertas Nota,10,pcs,"Rp27,500","Rp 28,875.00","Rp2,750.00",pcs,,80,Kertas Nota,10,pcs,"Rp27,500","Rp 28,875.00","Rp 2,887.50",pcs
82,Isi Staples,1,Pcs,1400,"Rp 1,470.00","Rp1,400.00",pcs,,82,Isi Staples,1,Pcs,1400,"Rp 1,470.00","Rp 1,470.00",pcs
83,Tissue Jumbo,1,Pcs,30000,"Rp 31,500.00","Rp30,000.00",pcs,,83,Tissue Jumbo,1,Pcs,30000,"Rp 31,500.00","Rp 31,500.00",pcs
84,Gelas Polos,50,pcs,"Rp 14,100.00","Rp 14,805.00",Rp282.00,pcs,,84,Gelas Polos,50,pcs,"Rp 14,100.00","Rp 14,805.00",Rp 296.10,pcs
85,Pudding Caramel,1,pcs,"Rp2,064.84","Rp 2,168.08","Rp2,064.84",pcs,,85,Pudding Caramel,1,pcs,"Rp2,064.84","Rp 2,168.08","Rp 2,168.08",pcs
87,Kresek 35,1,Pack,14200,"Rp 14,910.00","Rp14,200.00",Pack,,87,Kresek 35,1,Pack,14200,"Rp 14,910.00","Rp 14,910.00",Pack
88,Sendok Pudding,1,Pack,6300,"Rp 6,615.00","Rp6,300.00",Pack,,88,Sendok Pudding,1,Pack,6300,"Rp 6,615.00","Rp 6,615.00",Pack
90,Beras Ketan,1,Gr,31,Rp 32.55,Rp31.00,Gr,,90,Beras Ketan,1,Gr,31,Rp 32.55,Rp 32.55,Gr
91,Cuka,1,Gr,40,Rp 42.00,Rp40.00,Gr,,91,Cuka,1,Gr,40,Rp 42.00,Rp 42.00,Gr
92,Sendok Plastik,1,pcs,160,Rp 168.00,Rp160.00,pcs,,92,Sendok Plastik,1,pcs,160,Rp 168.00,Rp 168.00,pcs
93,Eggroll,1,pcs,440,Rp 462.00,Rp440.00,pcs,,93,Eggroll,1,pcs,440,Rp 462.00,Rp 462.00,pcs
94,Edamame,1,gr,40,Rp 42.00,Rp40.00,gr,,94,Edamame,1,gr,40,Rp 42.00,Rp 42.00,gr
95,Tray Bento,1,pcs,2530,"Rp 2,656.50","Rp2,530.00",pcs,,95,Tray Bento,1,pcs,2530,"Rp 2,656.50","Rp 2,656.50",pcs
96,White Coin,1,gr,130,Rp 136.50,Rp130.00,gr,,96,White Coin,1,gr,130,Rp 136.50,Rp 136.50,gr
97,Garam,1,gr,7.9,Rp 8.30,Rp7.90,gr,,97,Garam,1,gr,7.9,Rp 8.30,Rp 8.30,gr
98,Cup gelas PP 12Oz,1,pcs,480,Rp 504.00,Rp480.00,pcs,,98,Cup gelas PP 12Oz,1,pcs,480,Rp 504.00,Rp 504.00,pcs
99,Bayam krispy,1,gr,60,Rp 63.00,Rp60.00,gr,,99,Bayam krispy,1,gr,60,Rp 63.00,Rp 63.00,gr
